Total.Household.Income,Region,Total.Food.Expenditure,Household.Head.Sex,Household.Head.Age,Type.of.Household,Total.Number.of.Family.members,House.Floor.Area,House.Age,Number.of.bedrooms,Electricity
227857,X - Northern Mindanao,43958,Male,55,Extended Family,4,30,25,2,1
213240,X - Northern Mindanao,107903,Male,51,Extended Family,10,40,24,2,1
1033700,X - Northern Mindanao,171302,Male,68,Extended Family,8,50,3,3,1
55202,X - Northern Mindanao,23327,Female,60,Single Family,1,12,19,2,1
174337,X - Northern Mindanao,101993,Male,56,Extended Family,8,59,40,2,1
106200,X - Northern Mindanao,53673,Male,38,Single Family,6,15,11,3,1
87300,X - Northern Mindanao,34401,Female,60,Extended Family,3,10,20,1,1
137000,X - Northern Mindanao,30697,Female,58,Single Family,4,13,15,2,1
349298,X - Northern Mindanao,110065,Female,60,Extended Family,6,18,19,2,1
135300,X - Northern Mindanao,28417,Male,61,Single Family,1,79,47,5,1
231580,X - Northern Mindanao,63529,Male,51,Single Family,3,40,55,2,1
185698,X - Northern Mindanao,86624,Male,50,Single Family,9,11,16,2,1
159734,X - Northern Mindanao,68225,Male,55,Extended Family,8,11,15,1,1
53960,X - Northern Mindanao,32830,Male,57,Extended Family,3,10,20,1,1
125440,X - Northern Mindanao,63745,Male,61,Extended Family,7,15,35,2,1
79800,X - Northern Mindanao,37865,Male,37,Single Family,4,10,13,1,1
92279,X - Northern Mindanao,22336,Female,79,Single Family,2,20,32,1,1
143189,X - Northern Mindanao,106235,Female,51,Single Family,2,10,20,1,1
58012,X - Northern Mindanao,26798,Male,20,Single Family,3,20,3,1,1
50173,X - Northern Mindanao,28583,Female,72,Extended Family,3,30,6,1,1
181060,X - Northern Mindanao,73174,Male,35,Extended Family,3,10,22,1,1
194910,X - Northern Mindanao,50658,Male,42,Extended Family,3,10,37,1,1
82006,X - Northern Mindanao,55045,Male,60,Single Family,4,10,16,1,0
259967,X - Northern Mindanao,109390,Male,55,Extended Family,6,10,36,1,1
533320,X - Northern Mindanao,198394,Female,78,Extended Family,6,18,36,2,1
225323,X - Northern Mindanao,109712,Male,64,Extended Family,4,10,38,1,1
443730,X - Northern Mindanao,142921,Male,46,Single Family,5,10,24,1,1
220722,X - Northern Mindanao,133613,Male,45,Single Family,9,10,5,1,1
140065,X - Northern Mindanao,65990,Male,40,Extended Family,5,51,45,2,1
527291,X - Northern Mindanao,112835,Male,58,Extended Family,8,28,9,3,1
641570,X - Northern Mindanao,113288,Female,76,Extended Family,4,54,17,3,1
351554,X - Northern Mindanao,62350,Male,43,Single Family,4,95,13,3,1
98688,X - Northern Mindanao,48627,Female,62,Single Family,5,40,14,1,1
106952,X - Northern Mindanao,55158,Male,58,Single Family,4,29,17,2,1
66662,X - Northern Mindanao,36648,Male,38,Single Family,4,25,15,2,1
118973,X - Northern Mindanao,64108,Male,58,Single Family,9,63,15,2,1
90614,X - Northern Mindanao,62727,Male,51,Extended Family,4,105,25,4,1
103948,X - Northern Mindanao,38259,Female,75,Extended Family,5,20,10,2,1
78345,X - Northern Mindanao,46514,Male,34,Extended Family,4,55,7,2,1
391410,X - Northern Mindanao,77260,Male,45,Extended Family,6,85,30,3,1
210220,X - Northern Mindanao,67838,Female,46,Single Family,3,60,9,2,1
55106,X - Northern Mindanao,38705,Male,38,Single Family,7,55,15,2,1
113092,X - Northern Mindanao,84477,Male,78,Extended Family,8,43,20,2,1
121159,X - Northern Mindanao,56406,Male,74,Extended Family,6,36,25,2,1
209398,X - Northern Mindanao,56993,Male,50,Single Family,6,21,14,3,1
471382,X - Northern Mindanao,109990,Male,60,Single Family,5,48,15,3,1
76298,X - Northern Mindanao,27964,Female,51,Single Family,1,70,51,2,1
73609,X - Northern Mindanao,49276,Male,63,Single Family,2,19,25,1,0
178028,X - Northern Mindanao,67757,Male,63,Extended Family,4,54,33,2,1
425092,X - Northern Mindanao,126065,Male,62,Extended Family,9,58,45,2,1
47661,X - Northern Mindanao,18423,Female,78,Single Family,1,50,55,2,1
258870,X - Northern Mindanao,99335,Male,64,Extended Family,5,90,26,3,1
104055,X - Northern Mindanao,38539,Male,55,Single Family,3,27,16,2,1
62905,X - Northern Mindanao,34200,Male,46,Single Family,6,13,6,1,1
157661,X - Northern Mindanao,82180,Male,57,Single Family,10,34,14,0,1
208110,X - Northern Mindanao,92354,Male,66,Extended Family,10,15,20,2,1
17913,X - Northern Mindanao,6275,Female,78,Single Family,1,20,25,1,0
129640,X - Northern Mindanao,65302,Male,31,Single Family,7,20,10,1,1
100384,X - Northern Mindanao,37687,Female,68,Single Family,1,35,15,1,0
177410,X - Northern Mindanao,56096,Male,50,Single Family,5,16,20,1,0
287487,X - Northern Mindanao,81719,Male,40,Single Family,9,47,15,2,0
193000,X - Northern Mindanao,84105,Male,52,Single Family,8,45,13,2,1
140816,X - Northern Mindanao,54630,Male,50,Extended Family,10,27,18,1,1
84256,X - Northern Mindanao,31898,Male,47,Single Family,2,45,13,2,1
104560,X - Northern Mindanao,48063,Male,37,Single Family,6,27,15,1,1
68480,X - Northern Mindanao,47832,Male,66,Extended Family,5,27,15,2,0
272669,X - Northern Mindanao,70014,Male,73,Single Family,6,54,17,2,1
84230,X - Northern Mindanao,31997,Male,63,Single Family,5,48,25,2,1
224813,X - Northern Mindanao,67250,Male,55,Single Family,4,43,20,2,1
66111,X - Northern Mindanao,26255,Male,57,Single Family,1,50,23,2,1
112950,X - Northern Mindanao,38880,Male,51,Single Family,4,25,18,2,1
81924,X - Northern Mindanao,38629,Male,52,Extended Family,6,40,35,3,1
151249,X - Northern Mindanao,70360,Male,45,Single Family,4,48,16,1,1
78447,X - Northern Mindanao,20603,Male,48,Single Family,4,25,26,2,1
114509,X - Northern Mindanao,40901,Female,54,Extended Family,5,53,5,2,1
113221,X - Northern Mindanao,27887,Male,58,Single Family,3,32,34,2,1
65532,X - Northern Mindanao,32630,Male,47,Single Family,4,35,15,1,1
84665,X - Northern Mindanao,41696,Male,42,Single Family,5,25,15,1,1
203828,X - Northern Mindanao,53306,Female,64,Extended Family,7,86,18,4,1
152601,X - Northern Mindanao,61861,Male,47,Single Family,3,36,20,1,1
441116,X - Northern Mindanao,117162,Female,43,Single Family,5,38,11,3,1
144597,X - Northern Mindanao,65788,Male,45,Extended Family,7,15,18,1,1
32820,X - Northern Mindanao,14854,Male,57,Single Family,1,64,45,2,1
67760,X - Northern Mindanao,43112,Male,39,Single Family,5,32,14,1,1
260552,X - Northern Mindanao,71461,Male,54,Single Family,5,23,15,2,1
124501,X - Northern Mindanao,34378,Female,57,Single Family,3,12,10,1,0
53838,X - Northern Mindanao,25144,Male,46,Single Family,3,21,12,0,0
116197,X - Northern Mindanao,76028,Male,48,Single Family,6,32,10,0,1
127791,X - Northern Mindanao,51252,Male,45,Single Family,5,18,15,1,1
572747,X - Northern Mindanao,107903,Male,36,Extended Family,5,54,35,2,1
181952,X - Northern Mindanao,47813,Male,42,Extended Family,7,32,11,1,1
443405,X - Northern Mindanao,110533,Male,38,Single Family,4,35,12,1,1
26832,X - Northern Mindanao,10257,Male,73,Single Family,1,25,16,1,1
91223,X - Northern Mindanao,49032,Male,46,Single Family,6,40,7,1,1
84622,X - Northern Mindanao,18847,Female,62,Single Family,1,26,9,2,1
114425,X - Northern Mindanao,27707,Male,38,Single Family,3,100,9,2,1
51161,X - Northern Mindanao,13980,Male,57,Single Family,1,50,34,2,1
125112,X - Northern Mindanao,34326,Male,28,Extended Family,6,32,17,2,1
58064,X - Northern Mindanao,21971,Male,47,Single Family,4,50,10,2,1
176680,X - Northern Mindanao,37464,Male,63,Single Family,2,50,18,3,1
57851,X - Northern Mindanao,24812,Male,45,Single Family,2,32,20,2,1
92385,X - Northern Mindanao,36734,Male,37,Extended Family,7,36,5,1,1
128030,X - Northern Mindanao,51609,Male,38,Extended Family,5,20,10,1,1
115711,X - Northern Mindanao,25954,Male,67,Single Family,1,30,10,2,1
84406,X - Northern Mindanao,45902,Male,34,Single Family,5,54,30,1,0
162931,X - Northern Mindanao,57511,Male,64,Single Family,2,100,32,4,1
188080,X - Northern Mindanao,57994,Male,47,Extended Family,6,20,5,1,1
167118,X - Northern Mindanao,59885,Male,53,Single Family,7,70,5,2,0
309914,X - Northern Mindanao,32585,Male,72,Single Family,4,60,5,1,1
56257,X - Northern Mindanao,19341,Male,52,Single Family,2,15,5,1,1
458299,X - Northern Mindanao,98320,Male,55,Extended Family,8,100,54,3,1
114890,X - Northern Mindanao,34174,Male,75,Extended Family,5,129,30,2,1
146145,X - Northern Mindanao,46039,Male,43,Single Family,7,50,5,2,1
210571,X - Northern Mindanao,40470,Male,69,Single Family,2,32,15,3,1
1118691,X - Northern Mindanao,276991,Male,50,Single Family,4,600,11,5,1
169463,X - Northern Mindanao,42414,Male,32,Extended Family,8,40,11,1,1
147001,X - Northern Mindanao,46081,Male,29,Single Family,3,15,9,1,1
121269,X - Northern Mindanao,45570,Male,36,Single Family,6,15,16,1,1
1123471,X - Northern Mindanao,166267,Male,69,Extended Family,7,100,15,5,1
86718,X - Northern Mindanao,28477,Male,66,Single Family,1,15,1,1,1
165972,X - Northern Mindanao,64764,Male,66,Single Family,3,18,19,2,1
211086,X - Northern Mindanao,88455,Male,67,Single Family,8,100,6,2,1
130145,X - Northern Mindanao,71984,Male,53,Single Family,10,108,1,2,1
145280,X - Northern Mindanao,69565,Male,55,Single Family,10,35,23,2,1
96166,X - Northern Mindanao,51077,Male,52,Single Family,6,32,1,2,0
130190,X - Northern Mindanao,83955,Male,47,Single Family,8,40,8,1,1
452868,X - Northern Mindanao,72468,Male,53,Extended Family,5,165,15,2,1
520186,X - Northern Mindanao,118532,Male,56,Single Family,4,25,4,6,1
677084,X - Northern Mindanao,124299,Female,49,Extended Family,6,200,60,3,1
144361,X - Northern Mindanao,70127,Male,41,Single Family,7,30,14,2,1
384800,X - Northern Mindanao,88183,Male,39,Extended Family,5,70,17,2,1
269930,X - Northern Mindanao,37922,Male,63,Single Family,2,70,15,1,1
842938,X - Northern Mindanao,112766,Female,27,Single Family,5,40,12,2,1
86704,X - Northern Mindanao,37797,Male,33,Extended Family,4,50,20,2,1
85955,X - Northern Mindanao,26956,Male,65,Single Family,3,50,10,1,1
38655,X - Northern Mindanao,23683,Female,55,Single Family,2,30,12,1,1
60255,X - Northern Mindanao,16792,Female,64,Single Family,1,70,33,2,1
266600,X - Northern Mindanao,90052,Male,68,Extended Family,7,40,17,1,1
119199,X - Northern Mindanao,19292,Female,55,Single Family,1,50,4,0,1
197980,X - Northern Mindanao,81787,Female,55,Extended Family,7,60,60,6,1
90690,X - Northern Mindanao,36440,Male,54,Extended Family,7,30,27,1,1
99027,X - Northern Mindanao,44875,Male,54,Single Family,5,50,25,0,1
53665,X - Northern Mindanao,30873,Male,38,Single Family,6,40,15,0,1
69978,X - Northern Mindanao,28860,Male,77,Single Family,2,44,30,2,1
141786,X - Northern Mindanao,42699,Female,47,Single Family,2,50,33,2,1
716328,X - Northern Mindanao,124886,Male,56,Extended Family,7,100,25,2,1
73215,X - Northern Mindanao,39852,Female,40,Single Family,4,70,33,2,1
88299,X - Northern Mindanao,39865,Male,39,Single Family,6,50,35,0,1
96555,X - Northern Mindanao,35832,Male,26,Extended Family,3,70,33,1,1
75345,X - Northern Mindanao,33178,Male,25,Single Family,2,50,13,2,1
318355,X - Northern Mindanao,71681,Female,47,Single Family,7,50,13,2,1
981665,X - Northern Mindanao,154233,Female,65,Single Family,5,60,65,3,1
220033,X - Northern Mindanao,58007,Male,51,Single Family,6,56,28,3,1
283117,X - Northern Mindanao,130525,Male,49,Single Family,9,56,27,1,1
35167,X - Northern Mindanao,21710,Female,75,Extended Family,3,15,2,1,0
72542,X - Northern Mindanao,50510,Male,38,Single Family,4,300,1,1,1
239323,X - Northern Mindanao,50238,Male,46,Single Family,5,29,7,3,0
122764,X - Northern Mindanao,54337,Male,62,Extended Family,4,15,10,4,1
73908,X - Northern Mindanao,30541,Female,58,Single Family,5,40,19,2,1
89950,X - Northern Mindanao,41747,Male,39,Single Family,7,30,2,2,1
71263,X - Northern Mindanao,26210,Male,34,Single Family,4,10,4,1,1
249755,X - Northern Mindanao,40443,Male,57,Single Family,3,90,35,3,1
167447,X - Northern Mindanao,47840,Male,64,Single Family,6,42,28,2,1
101934,X - Northern Mindanao,53194,Female,28,Single Family,3,50,10,1,1
416940,X - Northern Mindanao,91406,Male,86,Single Family,3,400,40,1,1
303056,X - Northern Mindanao,83798,Female,69,Single Family,6,200,42,3,1
142588,X - Northern Mindanao,35222,Male,39,Single Family,3,15,34,1,1
266219,X - Northern Mindanao,82502,Male,54,Single Family,6,90,35,2,1
186500,X - Northern Mindanao,59706,Male,44,Single Family,5,50,0,2,1
293519,X - Northern Mindanao,66920,Female,53,Single Family,6,100,23,6,1
1087350,X - Northern Mindanao,233754,Male,56,Single Family,5,70,23,2,1
339088,X - Northern Mindanao,86788,Male,56,Single Family,4,25,18,2,1
189812,X - Northern Mindanao,62379,Male,44,Single Family,5,60,24,5,1
290594,X - Northern Mindanao,66299,Male,59,Single Family,5,20,41,2,1
221883,X - Northern Mindanao,83618,Male,48,Single Family,8,36,36,2,0
353210,X - Northern Mindanao,80050,Male,50,Single Family,6,21,13,1,1
340212,X - Northern Mindanao,98892,Male,46,Single Family,3,25,21,2,1
1779497,X - Northern Mindanao,280289,Female,58,Extended Family,8,50,20,5,1
585408,X - Northern Mindanao,100323,Male,43,Single Family,2,50,35,4,1
391488,X - Northern Mindanao,107350,Male,52,Extended Family,5,35,21,2,1
649038,X - Northern Mindanao,108818,Male,63,Extended Family,6,70,5,2,1
132990,X - Northern Mindanao,35235,Male,50,Single Family,1,20,16,1,1
1087420,X - Northern Mindanao,165967,Male,42,Single Family,5,30,15,3,1
148363,X - Northern Mindanao,53564,Male,31,Single Family,5,20,15,1,1
326696,X - Northern Mindanao,65515,Female,58,Single Family,1,75,20,2,1
176300,X - Northern Mindanao,43648,Male,29,Single Family,1,100,25,4,1
450250,X - Northern Mindanao,171907,Male,32,Extended Family,4,40,15,2,1
580128,X - Northern Mindanao,103293,Male,41,Single Family,1,250,6,3,1
739668,X - Northern Mindanao,151076,Male,45,Single Family,5,200,22,4,1
2598050,X - Northern Mindanao,224002,Male,58,Single Family,4,70,15,3,1
1420300,X - Northern Mindanao,285914,Male,34,Single Family,2,150,20,4,1
273184,X - Northern Mindanao,118158,Male,50,Single Family,6,150,16,3,1
1273000,X - Northern Mindanao,221932,Male,60,Extended Family,6,200,24,5,1
295578,X - Northern Mindanao,68432,Female,51,Single Family,5,50,22,1,0
247651,X - Northern Mindanao,72498,Male,46,Single Family,5,100,15,2,1
364133,X - Northern Mindanao,78759,Male,55,Single Family,6,100,15,2,1
106235,X - Northern Mindanao,41533,Male,68,Single Family,1,25,25,1,1
1352790,X - Northern Mindanao,231095,Male,56,Single Family,4,200,22,3,1
169483,X - Northern Mindanao,86669,Male,39,Single Family,4,120,15,1,1
389995,X - Northern Mindanao,118067,Male,36,Single Family,6,150,22,2,1
346687,X - Northern Mindanao,168358,Male,58,Single Family,4,145,25,2,1
356717,X - Northern Mindanao,101613,Female,49,Single Family,3,100,25,4,1
161308,X - Northern Mindanao,91645,Male,44,Single Family,5,100,14,1,1
484641,X - Northern Mindanao,142567,Male,70,Single Family,5,72,15,2,1
393990,X - Northern Mindanao,159083,Male,46,Single Family,6,150,15,2,1
225690,X - Northern Mindanao,89679,Female,59,Single Family,5,100,15,2,1
152766,X - Northern Mindanao,36170,Male,60,Single Family,5,100,30,2,1
153820,X - Northern Mindanao,27727,Female,74,Single Family,1,50,45,2,1
492870,X - Northern Mindanao,108980,Male,58,Extended Family,5,58,18,3,1
146025,X - Northern Mindanao,56435,Male,36,Single Family,3,100,36,1,1
208540,X - Northern Mindanao,60567,Male,57,Single Family,2,80,65,2,1
235458,X - Northern Mindanao,65476,Male,60,Single Family,3,72,26,4,1
281881,X - Northern Mindanao,43062,Male,62,Single Family,2,100,35,6,1
398885,X - Northern Mindanao,54292,Female,71,Single Family,2,30,31,0,1
86944,X - Northern Mindanao,53017,Male,52,Single Family,5,100,52,2,1
270908,X - Northern Mindanao,69939,Male,31,Single Family,1,100,52,1,1
141238,X - Northern Mindanao,29150,Female,75,Single Family,1,100,52,1,1
285475,X - Northern Mindanao,78547,Male,60,Single Family,4,145,35,5,1
1240000,X - Northern Mindanao,236938,Male,46,Extended Family,5,60,21,3,1
750050,X - Northern Mindanao,128675,Female,74,Single Family,3,71,17,3,1
465000,X - Northern Mindanao,152188,Male,77,Extended Family,5,100,4,2,1
360341,X - Northern Mindanao,55763,Female,46,Single Family,1,20,65,1,1
992000,X - Northern Mindanao,128051,Male,61,Single Family,4,300,55,3,1
442800,X - Northern Mindanao,108967,Female,28,Single Family,1,50,13,1,1
188688,X - Northern Mindanao,42099,Male,40,Single Family,2,50,31,2,1
280084,X - Northern Mindanao,75829,Female,65,Single Family,2,84,35,2,1
153670,X - Northern Mindanao,66269,Female,64,Single Family,1,70,40,3,1
142978,X - Northern Mindanao,39017,Male,33,Single Family,1,40,40,1,1
141238,X - Northern Mindanao,51343,Male,33,Single Family,4,30,40,1,1
122300,X - Northern Mindanao,40336,Male,59,Single Family,2,60,55,2,1
224904,X - Northern Mindanao,68594,Male,45,Single Family,7,60,55,2,1
135634,X - Northern Mindanao,42716,Female,63,Single Family,1,25,40,2,1
123540,X - Northern Mindanao,29367,Female,50,Single Family,1,15,40,1,1
110256,X - Northern Mindanao,25578,Male,33,Single Family,1,20,15,1,1
223996,X - Northern Mindanao,88990,Female,86,Single Family,6,60,45,2,1
344270,X - Northern Mindanao,77094,Male,62,Single Family,6,45,21,2,1
153883,X - Northern Mindanao,57363,Male,44,Single Family,7,90,1,3,1
280900,X - Northern Mindanao,105238,Male,78,Single Family,6,200,15,3,1
327724,X - Northern Mindanao,68787,Male,58,Single Family,3,150,13,3,1
46486,X - Northern Mindanao,19314,Male,27,Single Family,1,30,17,1,1
471972,X - Northern Mindanao,112196,Male,71,Extended Family,8,50,20,3,1
744002,X - Northern Mindanao,42945,Female,67,Single Family,2,90,35,2,1
217293,X - Northern Mindanao,41048,Female,72,Single Family,1,120,12,2,1
382762,X - Northern Mindanao,95296,Male,45,Single Family,4,160,15,3,1
585038,X - Northern Mindanao,65602,Female,80,Single Family,2,60,22,3,1
811898,X - Northern Mindanao,151539,Male,31,Single Family,4,120,23,2,1
361500,X - Northern Mindanao,92047,Male,50,Single Family,4,40,23,2,1
738702,X - Northern Mindanao,127468,Male,43,Single Family,5,80,23,2,1
466880,X - Northern Mindanao,101112,Male,73,Single Family,4,126,13,2,1
555712,X - Northern Mindanao,145517,Female,64,Single Family,7,84,1,3,1
315535,X - Northern Mindanao,89500,Male,55,Single Family,3,40,15,2,1
237036,X - Northern Mindanao,122291,Male,39,Single Family,6,50,25,3,1
134770,X - Northern Mindanao,56130,Male,34,Single Family,4,38,30,1,1
320634,X - Northern Mindanao,61231,Male,77,Single Family,5,80,39,4,1
236860,X - Northern Mindanao,64510,Female,26,Extended Family,7,20,36,2,1
228840,X - Northern Mindanao,90769,Male,51,Single Family,4,80,30,1,1
281180,X - Northern Mindanao,79754,Male,68,Single Family,6,200,13,3,1
186012,X - Northern Mindanao,67588,Female,67,Single Family,1,300,35,2,1
253305,X - Northern Mindanao,60241,Male,51,Single Family,4,40,45,2,1
210252,X - Northern Mindanao,42988,Male,58,Single Family,2,100,35,2,1
351355,X - Northern Mindanao,83473,Male,57,Single Family,3,300,47,3,1
229500,X - Northern Mindanao,46001,Male,39,Single Family,5,79,34,1,1
267000,X - Northern Mindanao,80728,Male,48,Single Family,5,79,23,2,1
134000,X - Northern Mindanao,53164,Male,57,Single Family,8,70,35,2,1
166440,X - Northern Mindanao,39224,Female,25,Single Family,4,70,35,1,1
173236,X - Northern Mindanao,50385,Male,52,Single Family,3,96,23,2,1
128213,X - Northern Mindanao,43761,Male,44,Single Family,4,20,30,1,1
260292,X - Northern Mindanao,67532,Male,54,Single Family,4,150,18,3,1
381338,X - Northern Mindanao,89299,Female,61,Single Family,4,130,2,3,1
312493,X - Northern Mindanao,91572,Male,61,Extended Family,7,150,5,1,1
94813,X - Northern Mindanao,43902,Male,57,Single Family,2,60,10,1,1
603580,X - Northern Mindanao,106325,Male,66,Extended Family,4,150,5,4,1
109659,X - Northern Mindanao,47669,Male,29,Single Family,4,50,2,3,1
518419,X - Northern Mindanao,119755,Male,41,Single Family,6,60,11,2,1
618165,X - Northern Mindanao,89615,Female,58,Extended Family,5,45,14,2,1
278004,X - Northern Mindanao,97027,Male,45,Extended Family,6,70,12,1,1
196830,X - Northern Mindanao,63582,Male,51,Single Family,4,40,25,2,1
874842,X - Northern Mindanao,152762,Female,57,Extended Family,6,75,16,2,1
416618,X - Northern Mindanao,153324,Male,44,Extended Family,5,80,7,2,1
232320,X - Northern Mindanao,68952,Male,51,Extended Family,6,56,7,2,1
605910,X - Northern Mindanao,166146,Male,52,Single Family,4,45,11,4,1
112470,X - Northern Mindanao,55433,Male,51,Single Family,5,56,8,1,1
539486,X - Northern Mindanao,265368,Male,64,Extended Family,9,56,11,2,1
157870,X - Northern Mindanao,57285,Male,44,Extended Family,9,40,11,1,0
993272,X - Northern Mindanao,105618,Female,42,Extended Family,5,56,11,4,1
323925,X - Northern Mindanao,142099,Male,44,Single Family,5,70,10,2,1
84939,X - Northern Mindanao,40459,Male,78,Extended Family,5,30,12,1,1
365376,X - Northern Mindanao,93546,Male,49,Extended Family,8,75,14,2,1
134823,X - Northern Mindanao,42451,Male,37,Single Family,4,70,15,2,1
184760,X - Northern Mindanao,68967,Male,35,Single Family,5,56,13,1,1
512734,X - Northern Mindanao,155928,Male,54,Single Family,3,72,15,2,1
75017,X - Northern Mindanao,38877,Male,65,Extended Family,3,50,9,0,0
395770,X - Northern Mindanao,118690,Male,54,Extended Family,7,150,13,1,1
87987,X - Northern Mindanao,44357,Male,63,Single Family,2,80,13,2,1
491870,X - Northern Mindanao,160573,Female,59,Extended Family,9,30,11,2,1
143106,X - Northern Mindanao,67152,Male,59,Extended Family,5,40,15,2,1
148778,X - Northern Mindanao,40453,Female,54,Extended Family,2,40,20,8,1
100560,X - Northern Mindanao,26181,Male,70,Single Family,2,110,20,4,1
249466,X - Northern Mindanao,71884,Female,59,Extended Family,3,90,26,1,1
180766,X - Northern Mindanao,51731,Female,53,Single Family,1,160,55,4,1
304309,X - Northern Mindanao,90977,Male,59,Extended Family,7,60,7,6,1
113796,X - Northern Mindanao,35822,Female,61,Extended Family,3,45,40,4,1
485904,X - Northern Mindanao,111608,Female,88,Extended Family,4,80,25,1,1
178616,X - Northern Mindanao,65770,Male,56,Extended Family,4,45,36,3,1
191874,X - Northern Mindanao,54759,Female,26,Extended Family,2,50,30,1,1
127480,X - Northern Mindanao,52538,Male,45,Extended Family,6,45,20,2,1
215642,X - Northern Mindanao,87837,Female,59,Extended Family,5,30,30,1,1
122273,X - Northern Mindanao,27387,Male,25,Single Family,1,60,20,6,1
339700,X - Northern Mindanao,81663,Male,41,Single Family,3,47,9,2,1
443230,X - Northern Mindanao,94988,Male,52,Extended Family,11,105,46,5,1
281701,X - Northern Mindanao,84131,Male,32,Single Family,4,100,4,3,1
188985,X - Northern Mindanao,45778,Male,32,Single Family,2,45,3,1,1
129886,X - Northern Mindanao,54594,Male,45,Single Family,8,70,41,2,1
131850,X - Northern Mindanao,36073,Male,40,Single Family,1,100,54,1,1
260042,X - Northern Mindanao,63648,Male,45,Single Family,3,50,35,3,1
184149,X - Northern Mindanao,57969,Male,45,Single Family,3,60,29,1,1
689234,X - Northern Mindanao,152970,Male,56,Extended Family,13,60,12,4,1
270333,X - Northern Mindanao,99735,Female,52,Single Family,4,70,35,2,1
709008,X - Northern Mindanao,171671,Male,53,Single Family,3,25,21,1,1
233740,X - Northern Mindanao,96494,Female,38,Single Family,3,20,15,1,1
212620,X - Northern Mindanao,70685,Male,73,Extended Family,6,95,18,4,1
95956,X - Northern Mindanao,48370,Female,22,Single Family,4,120,20,5,1
444358,X - Northern Mindanao,125032,Male,36,Extended Family,8,30,20,3,1
577798,X - Northern Mindanao,104381,Female,24,Single Family,2,60,4,3,1
349648,X - Northern Mindanao,78046,Male,44,Single Family,4,40,9,1,1
507060,X - Northern Mindanao,94260,Male,52,Single Family,4,80,14,2,1
611574,X - Northern Mindanao,108986,Male,76,Single Family,2,200,46,4,1
390521,X - Northern Mindanao,166815,Male,50,Extended Family,9,40,31,2,1
220798,X - Northern Mindanao,67465,Male,58,Single Family,3,30,26,1,1
318366,X - Northern Mindanao,96031,Male,49,Extended Family,10,100,25,3,1
360995,X - Northern Mindanao,180018,Male,45,Single Family,8,30,18,1,1
359300,X - Northern Mindanao,140561,Female,42,Single Family,4,72,11,2,1
418690,X - Northern Mindanao,105028,Male,52,Single Family,6,70,15,2,1
629832,X - Northern Mindanao,156805,Female,39,Single Family,5,70,29,3,1
292887,X - Northern Mindanao,76238,Male,63,Single Family,4,50,24,2,1
166936,X - Northern Mindanao,90692,Male,30,Single Family,2,30,15,0,1
271924,X - Northern Mindanao,101121,Male,27,Single Family,4,60,5,1,1
307030,X - Northern Mindanao,77042,Male,52,Single Family,5,40,17,3,1
245370,X - Northern Mindanao,88786,Male,51,Extended Family,14,50,12,3,1
410032,X - Northern Mindanao,71188,Male,27,Single Family,2,60,17,1,1
293759,X - Northern Mindanao,77956,Male,69,Single Family,3,60,17,2,1
184702,X - Northern Mindanao,41803,Male,20,Single Family,2,200,16,3,1
69962,X - Northern Mindanao,24662,Female,51,Single Family,1,75,14,2,1
113632,X - Northern Mindanao,36037,Male,65,Single Family,2,40,11,2,1
634845,X - Northern Mindanao,143022,Male,53,Single Family,5,100,15,3,1
416609,X - Northern Mindanao,101182,Male,67,Single Family,4,85,25,3,1
218720,X - Northern Mindanao,107931,Male,45,Extended Family,5,60,36,2,1
167567,X - Northern Mindanao,48425,Male,54,Single Family,3,38,68,1,1
147420,X - Northern Mindanao,62137,Male,37,Single Family,6,75,17,2,1
207958,X - Northern Mindanao,103054,Female,58,Extended Family,5,50,46,3,1
150596,X - Northern Mindanao,59720,Male,49,Extended Family,6,78,19,2,1
181042,X - Northern Mindanao,70057,Male,32,Single Family,6,50,35,1,1
204337,X - Northern Mindanao,73655,Male,45,Single Family,2,100,14,2,1
465124,X - Northern Mindanao,93387,Male,57,Extended Family,5,70,40,4,1
364214,X - Northern Mindanao,49548,Male,66,Extended Family,4,80,25,3,1
1049802,X - Northern Mindanao,225034,Female,59,Extended Family,4,90,20,3,1
387348,X - Northern Mindanao,72518,Male,61,Single Family,3,120,38,2,1
396500,X - Northern Mindanao,134333,Male,69,Single Family,5,85,18,3,1
142659,X - Northern Mindanao,23776,Female,82,Single Family,1,60,30,2,1
478296,X - Northern Mindanao,71328,Male,75,Extended Family,8,80,25,4,1
525410,X - Northern Mindanao,164197,Male,65,Extended Family,11,96,30,6,1
194346,X - Northern Mindanao,37924,Female,47,Single Family,3,65,30,1,1
310214,X - Northern Mindanao,35593,Female,69,Single Family,1,90,17,2,1
373771,X - Northern Mindanao,90833,Male,59,Extended Family,7,50,35,2,1
197423,X - Northern Mindanao,68093,Male,43,Extended Family,4,25,30,1,1
573913,X - Northern Mindanao,86823,Male,43,Single Family,6,60,23,5,1
121868,X - Northern Mindanao,66596,Male,34,Single Family,8,25,15,1,1
143400,X - Northern Mindanao,48962,Male,57,Extended Family,4,45,16,1,1
114040,X - Northern Mindanao,34205,Female,53,Single Family,1,150,15,2,1
965904,X - Northern Mindanao,76410,Male,38,Single Family,3,100,15,3,1
182653,X - Northern Mindanao,45974,Male,65,Single Family,3,45,23,1,1
133485,X - Northern Mindanao,54135,Male,60,Single Family,5,80,28,0,1
